idade,ano,sexo,clientela,populacao
5,2017,1,1,6946374
5,2017,1,2,1139179
5,2017,3,1,6792378
5,2017,3,2,968095
5,2018,1,1,7003334
5,2018,1,2,1148520
5,2018,3,1,6848075
5,2018,3,2,976033
5,2019,1,1,7058660
5,2019,1,2,1157593
5,2019,3,1,6902175
5,2019,3,2,983744
5,2020,1,1,7113012
5,2020,1,2,1166506
5,2020,3,1,6955322
5,2020,3,2,991319
5,2021,1,1,7165648
5,2021,1,2,1175138
5,2021,3,1,7006791
5,2021,3,2,998655
5,2022,1,1,7216524
5,2022,1,2,1183481
5,2022,3,1,7056539
5,2022,3,2,1005745
5,2023,1,1,7265596
5,2023,1,2,1191529
5,2023,3,1,7104523
5,2023,3,2,1012584
5,2024,1,1,7312822
5,2024,1,2,1199274
5,2024,3,1,7150702
5,2024,3,2,1019166
5,2025,1,1,7358161
5,2025,1,2,1206709
5,2025,3,1,7195036
5,2025,3,2,1025485
5,2026,1,1,7401574
5,2026,1,2,1213829
5,2026,3,1,7237487
5,2026,3,2,1031535
5,2027,1,1,7443023
5,2027,1,2,1220626
5,2027,3,1,7278017
5,2027,3,2,1037312
5,2028,1,1,7482471
5,2028,1,2,1227095
5,2028,3,1,7316590
5,2028,3,2,1042810
5,2029,1,1,7519883
5,2029,1,2,1233230
5,2029,3,1,7353173
5,2029,3,2,1048024
5,2030,1,1,7555226
5,2030,1,2,1239026
5,2030,3,1,7387733
5,2030,3,2,1052950
5,2031,1,1,7588469
5,2031,1,2,1244478
5,2031,3,1,7420239
5,2031,3,2,1057583
5,2032,1,1,7619582
5,2032,1,2,1249580
5,2032,3,1,7450662
5,2032,3,2,1061919
5,2033,1,1,7648536
5,2033,1,2,1254328
5,2033,3,1,7478975
5,2033,3,2,1065954
5,2034,1,1,7675306
5,2034,1,2,1258718
5,2034,3,1,7505151
5,2034,3,2,1069685
5,2035,1,1,7699867
5,2035,1,2,1262746
5,2035,3,1,7529167
5,2035,3,2,1073108
5,2036,1,1,7722197
5,2036,1,2,1266408
5,2036,3,1,7551002
5,2036,3,2,1076220
5,2037,1,1,7743047
5,2037,1,2,1269827
5,2037,3,1,7571390
5,2037,3,2,1079126
5,2038,1,1,7761630
5,2038,1,2,1272875
5,2038,3,1,7589561
5,2038,3,2,1081716
5,2039,1,1,7777929
5,2039,1,2,1275548
5,2039,3,1,7605499
5,2039,3,2,1083988
5,2040,1,1,7791929
5,2040,1,2,1277844
5,2040,3,1,7619189
5,2040,3,2,1085939
5,2041,1,1,7804396
5,2041,1,2,1279889
5,2041,3,1,7631380
5,2041,3,2,1087677
5,2042,1,1,7814542
5,2042,1,2,1281553
5,2042,3,1,7641301
5,2042,3,2,1089091
5,2043,1,1,7823138
5,2043,1,2,1282963
5,2043,3,1,7649706
